depth_index,Beech_Soil,Spruce_Soil,Beech_Tree,Spruce_Tree,Beech_Tree_Profile,Spruce_Tree_Profile
110,0.005864610191317475,7.467700943191322e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
111,0.006014273572968782,7.481160681015214e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
112,0.0061674691790856405,7.494648502554855e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
113,0.006324296557871779,7.50816447480039e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
114,0.00648485863343327,7.5217086649223736e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
115,0.006649261840862684,7.535281140272256e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
116,0.006817616267576217,7.548881968382974e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
117,0.006990035801232394,7.562511216969483e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
118,0.007166638284582005,7.57616895392931e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
119,0.007347545677617951,7.589855247343082e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
120,0.007532884227417495,7.603570165475121e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
121,0.007722784646091726,7.617313776773926e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
122,0.007917382297283145,7.631086149872792e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
123,0.008116817391678185,7.644887353590361e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
124,0.008321235192031628,7.658717456931142e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
125,0.008530786228228858,7.672576529086094e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
126,0.008745626522945946,7.686464639433191e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
127,0.00841001281442755,7.666971196612925e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
128,0.0085673648188346,7.904019075180816e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
129,0.008728091762296606,8.149576545162956e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
130,0.008892281340914734,8.403991695785282e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
131,0.009060023981338924,8.66762860527821e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
132,0.009231412940594246,8.940868155857271e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
133,0.009406544410112483,9.224108894345591e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
134,0.009585517624169398,9.517767941222988e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
135,0.009768434972939801,9.822281951070132e-06,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
136,0.00995540212039327,1.0138108127572936e-05,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
137,0.01014652812726572,1.0465725296463077e-05,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
138,0.010341925579354554,1.0805635039996453e-05,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
139,0.010541710721399176,1.1158362896813337e-05,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
140,0.010746003596822542,1.1524459631283502e-05,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
141,0.010954928193624865,1.1904502576717876e-05,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
142,0.011168612596736918,1.2299097057126898e-05,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
143,0.011387189147157327,1.2708877892526133e-05,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
144,0.011610794608216903,1.313451099313356e-05,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
145,0.011839570339331687,1.3576695048172249e-05,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
146,0.012073662477628345,1.4036163315389055e-05,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
147,0.012313222127845698,1.4513685517825878e-05,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
148,0.012558405560941384,1.5010069854838069e-05,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
149,0.012809374421855688,1.5526165134847616e-05,0.0021956399999999996,0.0011029532011199998,0.0021956399999999996,0.0011029532011199998
