b1_org,b2_org,b3_org,b1_min,b2_min,b3_min,albedo,log10_alpha_org,n_org,log10_K_org,log10_alpha_min,n_min,log10_K_min,log10_S_max,error,error_heat,error_moist
1.3399999999999999,2.6800000000000006,2.0133333333333336,1.3399999999999999,2.6800000000000006,6.0,0.05,0.33333333333333337,5.0,-3.0,0.33333333333333337,2.0,-8.0,-8.0,4.5921064210009,3.4979774794826395,2.975163009791224
1.3399999999999999,2.6800000000000006,2.0133333333333336,1.3399999999999999,2.6800000000000006,6.0,0.21666666666666667,0.33333333333333337,5.0,-3.0,0.33333333333333337,2.0,-8.0,-8.0,4.710158379875897,3.6216379746132144,3.0115328894691875
1.3399999999999999,8.0,2.0133333333333336,1.3399999999999999,2.6800000000000006,6.0,0.21666666666666667,0.33333333333333337,5.0,-3.0,0.33333333333333337,2.0,-8.0,-8.0,4.778457822525699,3.7099987697133283,3.0115723950093956
1.3399999999999999,8.0,2.0133333333333336,1.3399999999999999,2.6800000000000006,6.0,0.21666666666666667,0.33333333333333337,5.0,-3.0,0.33333333333333337,1.3666666666666667,-8.0,-8.0,4.916501946235245,3.6991177721746484,3.2385983225643487
2.0,0.02,4.006666666666667,1.3399999999999999,0.02,4.006666666666667,0.05,0.33333333333333337,3.166666666666667,-6.333333333333333,0.0,2.0,-4.666666666666667,-6.0,,,
2.0,0.02,0.02,1.3399999999999999,0.02,4.006666666666667,0.05,0.33333333333333337,3.166666666666667,-6.333333333333333,0.0,2.0,-4.666666666666667,-6.0,,,
2.0,0.02,0.02,1.3399999999999999,0.02,4.006666666666667,0.21666666666666667,0.33333333333333337,3.166666666666667,-6.333333333333333,0.0,2.0,-4.666666666666667,-6.0,,,
2.0,0.02,0.02,1.3399999999999999,0.02,4.006666666666667,0.21666666666666667,0.33333333333333337,3.166666666666667,-6.333333333333333,0.0,2.0,-8.0,-6.0,,,
0.68,0.02,0.02,1.3399999999999999,0.02,4.006666666666667,0.21666666666666667,0.33333333333333337,3.166666666666667,-6.333333333333333,0.0,2.0,-8.0,-6.0,,,
0.68,0.02,0.02,1.3399999999999999,0.02,4.006666666666667,0.21666666666666667,1.0,3.166666666666667,-6.333333333333333,0.0,2.0,-8.0,-6.0,,,
